Blog	time	started	ve	so	what	re	if	way	week	or	every	few	one	back	they	about	world	where	end	up	after	years	year	me	last	first	not	because	had	some	great	has	when	our	company	he	his	why	them	other	their	here	do	your	don	who	then	no	google	two	us	d	lot	part	never	before	over	people	very	make	most	out	good	have	today	been	think	my	next	still	like	will	may	could	called	all	these	get	best	trump	find	post	read	long	would	things	now	doesn	can	even	into	just	little	well	used	big	media	there	going	which	its	should	be	more	than	much	take	ll	off	around	made	go	money	see	any	down	show	she	know	want	say	love	own	old	life	work	only	many	need	m	another	something	said	site	too	through	data	right	might	also	real	use	day	service	place	those	did	while	news	were	open	come	story	better	video	her
O'Reilly Radar	0	0	0	0	1	3	1	1	0	1	1	0	0	0	1	0	0	0	0	1	2	0	0	2	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	3	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	1	1	7	2	0	6	1	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	2	2	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0
pharyngula	1	1	1	2	1	1	1	0	0	1	1	0	3	1	6	1	0	0	0	1	1	0	1	6	0	1	2	1	2	1	0	1	4	0	0	0	0	1	1	1	3	4	1	1	2	0	1	3	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	11	0	1	4	4	0	0	1	2	2	0	2	3	2	2	0	0	0	0	0	2	0	0	2	0	2	0	1	0	1	0	0	0	0	1	2	4	1	0	2	3	1	0	0	1	0	2	1	3	0	3	0	4	1	0	2	1	0	0	1	0	0	0	2	1	0	2	1	0	0	0	0	1	0	2	1	3	1	2	0	0	2	0	0	0	0	1	4	0	1	0	0	0
Seth's Blog	0	0	2	1	4	5	4	1	1	6	3	1	2	0	2	3	1	0	2	2	0	2	0	1	1	1	3	1	1	3	0	4	6	0	0	0	1	0	2	1	2	2	4	3	3	2	0	0	0	2	1	0	0	0	0	0	0	5	0	2	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	1	1	1	5	1	2	2	1	1	0	0	0	0	0	0	2	2	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	3	0	0	2	0	0	3	0	0	1	0	0	3	1	1	1	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0
Slashdot	3	0	1	5	3	1	3	4	3	11	1	1	11	6	8	4	4	2	2	2	6	4	19	0	8	6	6	1	3	4	0	19	11	2	19	0	1	1	1	9	14	1	1	2	0	5	3	1	5	12	2	0	0	2	1	3	3	8	1	3	5	8	0	15	2	6	0	0	5	4	7	15	6	7	3	7	2	0	2	1	2	2	15	2	12	0	6	1	8	4	3	8	2	2	7	1	2	3	1	15	21	1	19	32	11	0	1	1	2	1	5	0	3	2	3	3	0	0	0	0	1	0	1	1	2	1	3	2	0	0	3	0	19	0	1	7	24	2	3	9	0	5	1	5	2	1	2	6	0	10	2	2	15	0	4	2
ThinkProgress	0	0	0	1	1	0	2	0	1	0	1	0	2	0	2	0	0	1	0	0	2	2	0	0	0	0	1	0	0	1	0	4	0	0	0	4	7	1	0	0	0	1	1	1	2	4	0	2	0	1	0	0	0	0	0	1	1	5	0	0	2	4	0	4	0	3	0	0	2	0	1	5	0	2	0	0	0	1	0	9	0	0	0	0	3	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	2	0	0	1	1	0	1	2	1	0	1	0	0	1	0	3	0	0	1	0	1	1	1	0	0	0	2	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0
The Dish	6	1	3	6	9	2	2	0	1	3	1	0	10	3	8	9	8	0	3	7	2	12	3	11	3	4	6	1	4	1	0	8	5	6	0	3	11	5	0	2	7	2	4	13	4	5	7	6	0	1	3	1	0	3	2	1	3	5	1	2	5	3	0	5	1	6	1	17	1	2	0	6	1	1	0	6	5	2	0	0	2	4	11	7	1	3	2	1	5	5	1	4	2	1	0	2	0	3	2	2	0	4	13	7	4	2	1	3	0	5	2	3	1	0	1	1	0	1	7	1	1	7	1	3	1	3	3	3	0	1	2	0	4	2	1	4	0	0	1	0	1	1	12	0	1	3	2	0	2	1	2	0	4	2	0	1
WIL WHEATON dot NET	32	5	25	60	38	9	28	22	11	39	5	5	25	8	48	56	9	7	0	19	7	26	13	91	9	16	36	37	41	30	8	16	51	11	0	37	20	3	27	10	16	3	26	5	18	33	12	12	0	10	24	14	13	6	21	6	10	12	8	13	8	26	22	43	11	27	11	143	3	11	37	9	0	12	1	54	23	32	14	0	7	4	5	3	26	29	14	2	25	22	21	39	9	4	4	6	0	8	24	16	10	7	37	24	12	33	8	13	4	9	12	17	3	6	13	6	15	1	30	12	5	18	17	10	31	23	7	8	12	45	6	18	3	0	8	18	0	5	0	3	7	4	9	0	0	16	22	1	0	25	5	4	3	7	1	2
43 Folders	46	2	40	75	73	48	59	36	11	105	12	13	47	25	48	105	13	20	7	45	10	16	14	82	13	29	120	57	26	28	14	28	30	35	2	39	28	32	22	22	19	28	74	83	46	70	25	37	2	10	21	45	39	17	26	13	29	54	29	45	41	44	26	74	13	31	31	188	3	20	68	53	15	24	3	58	24	50	14	0	10	2	43	21	20	55	41	18	85	50	21	70	28	24	6	25	2	33	7	45	9	16	96	69	36	37	10	37	13	10	28	21	5	18	38	9	4	29	40	26	21	15	13	10	32	59	22	20	21	47	10	23	14	2	14	7	3	24	16	27	19	11	16	3	7	27	13	10	1	16	4	5	6	27	14	17
Autoblog	2	0	0	1	0	1	0	0	0	3	0	1	14	3	0	0	1	0	0	0	12	5	4	0	0	12	0	0	0	0	0	1	2	39	4	1	4	6	0	0	0	3	1	11	3	1	0	0	0	1	0	3	0	0	0	0	2	0	0	0	0	5	0	1	0	0	0	0	4	0	1	2	1	3	0	2	7	0	2	0	1	1	0	0	5	0	0	0	7	0	1	3	0	1	2	0	1	0	0	3	12	0	12	3	9	1	4	0	9	4	1	0	0	39	0	1	1	5	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	2	3	39	1	0	0	0	0	0	3	2	6	0	0	3	2	2
The Write News	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	2	0	1	2	4	0	0	0	0	6	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	2	1	1	1	0	0	0	1	0	0	1	2	0	2	0	0	0	0	3	0	0	15	0	0	0	0	1	0	0	2	1	0	0	0	0	3	0	0	0	1	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	5	1
blog maverick	1	0	0	0	4	0	2	0	0	4	1	0	2	1	0	1	0	0	0	1	0	0	0	2	0	0	5	0	1	3	1	0	2	2	0	1	0	1	0	1	1	0	3	0	2	1	1	3	0	0	3	0	0	0	0	0	0	1	2	0	1	1	1	6	0	2	1	4	0	0	2	1	2	0	1	2	0	1	0	2	3	0	0	2	1	0	0	0	0	2	2	0	0	0	0	0	2	4	0	1	0	1	2	1	3	0	1	0	0	0	0	1	3	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	2	1	1	0	0	0	0	1	4	0	1	0	0	1	0	0
Boing Boing	3	2	5	9	6	10	5	4	3	15	1	3	7	3	17	13	2	2	2	10	7	3	0	3	2	2	13	5	7	3	0	14	4	1	2	18	18	0	3	6	7	4	7	4	2	12	6	4	0	2	6	1	0	1	4	2	4	10	1	8	2	3	3	12	2	4	8	4	1	3	7	8	0	4	9	5	3	2	0	2	2	0	32	2	6	5	8	5	9	3	4	6	0	3	2	3	3	6	5	9	11	2	17	5	5	4	4	4	2	1	6	3	3	2	0	0	7	0	1	1	0	2	1	0	5	2	5	2	1	4	1	3	8	2	5	3	1	3	2	9	2	2	3	0	1	4	3	3	3	18	0	3	2	1	7	1
BuzzMachine	2	0	4	3	7	1	1	0	1	1	1	0	3	0	3	8	3	0	1	2	0	1	1	7	2	15	6	1	0	0	0	0	3	3	1	5	1	0	2	1	3	1	4	1	2	1	3	2	1	0	3	1	0	1	0	0	4	1	1	2	0	0	2	6	1	5	3	7	0	1	3	2	1	0	0	3	0	2	0	1	0	17	0	0	1	0	1	0	2	0	0	1	0	1	0	0	9	1	0	1	5	2	2	0	0	0	1	1	0	1	0	2	1	0	1	0	0	0	3	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	1	0	0	2	0	0	1	0	0	0	1	1	8	0	1	0	2	1	0	0
Captain's Quarters	1	1	0	0	0	0	1	0	1	0	0	1	2	2	2	3	1	0	0	1	3	2	0	2	0	2	3	0	3	1	0	7	2	0	0	6	6	0	0	2	6	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	4	0	2	2	2	0	2	1	1	0	5	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	2	0	0	1	0	1	1	0	0	0	3	2	4	3	2	0	1	0	1	0	0	0	1	0	0	2	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	0	2	0	1	2	0	0	0	3	1	1	0	0	0	4	0	0	1
COOL HUNTING	1	0	0	1	1	0	0	0	1	4	0	0	2	1	1	1	0	3	0	2	0	2	1	0	0	1	1	1	0	4	0	6	0	1	0	0	2	0	2	1	5	0	1	0	0	0	0	0	0	3	2	0	1	2	0	0	1	1	0	3	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0	2	2	0	1	0	1	0	0	1	0	2	1	0	3	0	4	1	0	0	0	2	0	2	0	6	3	0	3	2	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
Copyblogger	1	1	1	0	0	4	1	0	1	3	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	10	1	0	1	0	0	0	3	0	0	1	0	2	2	0	0	0	3	10	0	1	0	0	0	3	0	0	0	0	1	3	0	2	0	0	0	0	5	1	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	1	0	0	0	0	1	2	0	0	0	0	2	0	2	1	0	0	0	1	0	0	0	0	0	1	0	2
Latest from Crooks and Liars	1	0	1	8	14	6	1	1	2	6	3	2	3	0	17	9	0	3	1	7	3	1	2	4	0	4	6	6	4	4	1	5	5	0	0	18	11	2	5	1	2	0	4	8	2	6	0	3	0	1	0	1	4	1	1	1	2	6	1	3	0	3	0	5	1	3	7	2	1	0	6	9	0	3	1	1	0	4	0	21	0	0	5	0	6	1	1	1	3	1	0	7	2	2	0	0	0	4	8	1	0	2	4	9	3	0	2	0	1	1	1	3	0	4	3	1	4	8	7	2	2	0	1	1	0	1	1	0	2	2	0	2	8	1	0	2	0	1	3	2	2	2	0	0	1	2	4	1	8	3	1	0	3	0	0	1
Deadspin	2	0	0	1	1	1	2	2	3	2	0	0	3	0	1	2	6	0	2	3	1	0	2	0	2	5	6	0	2	0	0	1	2	1	0	2	5	0	0	0	4	0	0	1	1	3	0	3	0	1	0	1	0	0	2	2	0	3	2	2	1	5	1	4	1	1	1	0	0	1	0	2	0	0	0	2	1	0	3	3	0	0	23	0	0	0	1	0	2	3	1	1	0	0	0	0	0	0	0	0	4	1	4	27	3	1	1	1	0	0	0	2	1	0	0	2	0	0	0	0	1	1	0	2	2	2	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	1	3	2	0	2	0	0	0	0
Tech	0	0	0	0	1	0	3	0	1	0	0	0	0	2	0	2	1	0	1	1	2	0	0	0	1	1	0	1	0	0	0	0	2	0	3	3	2	0	0	0	2	0	0	0	0	2	1	4	1	0	1	0	1	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	3	0	3	1	0	0	4	1	1	1	1	0	1	0	1	0	0	2	2	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0
Engadget RSS Feed	1	1	2	3	7	1	3	2	3	4	1	1	6	0	5	3	3	2	0	2	5	0	2	1	1	3	2	0	2	3	0	16	0	0	5	0	1	3	3	1	0	2	1	5	1	1	1	1	0	2	2	1	0	0	0	1	1	2	1	0	2	5	1	4	0	3	0	1	0	0	4	2	4	0	2	1	0	4	1	0	3	0	0	0	3	2	6	0	6	1	1	3	1	3	1	0	1	3	2	4	8	1	8	7	3	1	0	0	0	0	1	1	0	0	2	1	1	0	2	2	0	0	1	0	1	1	3	1	2	1	2	1	0	0	0	1	0	0	2	2	0	0	2	6	2	3	0	1	1	1	1	0	0	2	2	0
Gapingvoid	0	0	1	1	9	2	2	1	0	3	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	11	5	0	1	0	2	3	1	3	1	1	1	3	0	0	0	0	4	6	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	6	3	0	2	2	2	0	0	0	0	0	0	0	7	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0	0	0	0	4	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	2	1	2	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gothamist	3	0	0	1	2	2	2	0	3	0	0	1	1	1	1	2	0	0	3	6	2	0	3	1	0	0	3	7	3	0	0	5	0	4	0	2	2	2	1	3	2	1	2	3	3	4	1	2	0	0	1	3	0	0	0	2	3	4	1	2	0	8	1	8	4	4	0	4	2	0	2	7	0	1	0	3	2	3	1	6	1	0	0	2	0	2	0	1	2	0	1	1	1	0	0	2	0	3	1	1	1	0	4	46	1	1	1	0	2	0	1	2	0	2	0	1	2	2	1	2	0	2	0	3	1	2	0	1	0	1	3	0	4	0	0	0	0	0	0	1	1	0	5	0	0	2	0	0	1	1	0	2	0	0	3	1
Joel on Software	1	0	0	0	1	2	1	1	1	1	0	0	0	0	0	0	0	1	0	3	1	1	1	0	2	0	2	0	1	1	0	1	1	0	3	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	2	0	0	0	0	0	1	1	0	1	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	1	0
Kotaku	4	0	1	1	1	3	2	2	0	1	1	2	4	2	2	2	3	0	0	5	0	3	1	3	1	1	3	0	1	3	1	5	2	1	2	1	1	0	0	0	1	1	2	2	0	4	1	0	0	1	0	0	5	0	1	0	1	1	1	2	1	2	2	4	4	4	1	3	0	0	5	0	0	1	0	1	3	1	5	0	4	0	20	0	1	1	3	0	8	0	2	4	2	1	0	0	0	1	1	1	3	0	4	25	2	1	0	0	3	2	0	1	0	3	0	1	0	1	0	1	1	0	0	0	1	2	1	0	0	0	1	1	0	0	1	3	0	0	1	2	1	2	1	1	0	0	2	1	0	1	1	1	0	4	4	0
kottke.org	22	1	8	30	25	11	12	13	2	30	11	6	43	6	52	31	32	6	7	20	10	16	10	11	3	20	34	18	11	37	3	26	18	7	1	16	20	8	23	19	34	16	13	7	12	17	8	8	4	9	15	3	4	15	3	8	16	18	9	14	21	23	7	36	0	13	3	14	7	10	27	17	6	10	6	38	18	12	9	0	8	4	8	9	11	14	23	7	35	12	23	24	4	13	9	2	3	22	7	28	18	1	30	27	11	13	4	8	2	14	8	6	0	18	9	11	5	18	10	3	6	7	5	6	6	13	10	9	6	6	10	6	17	0	5	12	3	8	5	32	3	5	5	6	7	13	6	16	0	17	4	1	3	4	17	30
Lifehack - Feed	2	0	0	1	3	1	1	0	1	6	3	1	0	1	3	3	0	2	0	1	1	0	0	1	0	2	2	1	2	3	0	0	2	3	0	0	0	1	0	0	2	0	4	8	3	0	0	1	0	0	0	1	3	1	0	0	2	4	0	7	0	1	2	1	0	0	2	1	1	1	4	3	0	1	0	0	1	1	2	0	4	0	11	1	1	0	2	1	2	1	0	1	0	0	2	0	2	0	0	0	0	0	7	13	1	2	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	2	0	0	1	3	2	2	4	0	0	1	0	0	1	3	0	0	1	0	0	1	3	0	1	0	1	2	3	0	0	1	0	1	0	0
Lifehacker	5	1	7	3	2	6	5	3	5	11	2	2	3	1	9	6	2	0	1	2	1	0	1	1	4	0	6	5	0	9	2	2	8	7	3	0	1	4	3	1	2	3	3	27	3	4	6	2	8	1	1	1	0	1	2	2	1	2	1	4	1	2	3	7	0	3	0	1	1	2	3	1	0	0	0	4	0	3	5	0	2	1	23	1	0	0	5	2	5	2	3	2	0	1	0	1	0	3	1	2	2	5	12	31	3	1	2	4	1	2	2	2	4	0	1	0	0	0	0	2	2	0	0	2	0	2	1	1	1	3	0	2	0	0	0	0	0	3	5	0	2	2	1	0	0	0	0	2	0	0	0	1	0	0	1	0
Little Green Footballs	6	1	1	6	7	2	1	1	7	0	1	0	6	1	7	14	2	4	2	8	2	4	2	6	6	1	11	5	3	5	1	4	5	10	0	12	15	1	1	6	4	11	1	4	1	17	1	0	1	1	5	9	2	1	0	0	3	7	2	2	4	9	5	10	7	5	0	7	3	0	7	4	2	1	2	10	1	5	5	50	1	1	1	3	3	3	8	0	9	1	8	5	1	1	1	1	2	3	1	5	2	1	8	14	1	3	0	1	2	1	3	0	0	5	4	2	4	0	2	1	0	2	2	1	1	1	2	2	0	1	2	2	2	2	1	2	0	4	4	3	0	0	1	0	2	2	1	2	11	2	2	0	5	1	24	3
Make: DIY Projects and Ideas for Makers	0	0	1	1	2	0	0	0	0	0	0	1	1	2	1	1	0	2	0	1	1	0	1	0	2	10	1	0	0	2	0	1	0	3	0	0	0	0	0	0	3	0	2	2	0	2	0	0	0	0	4	4	0	0	0	0	1	0	0	22	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	1	0	1	0	3	11	0	1	3	1	1	0	1	0	0	1	0	0	0	0	1	0	0	3	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	2	1	0	0	1	1	0	0	0	5	0	0	0	4	0
Matt Cutts: Gadgets, Google, and SEO	2	1	3	3	1	1	1	2	2	4	1	1	5	1	3	8	1	0	1	3	1	2	4	1	5	0	1	1	0	3	2	4	1	0	0	4	0	0	2	0	3	1	4	2	0	1	0	0	7	0	7	1	1	1	0	0	1	4	0	2	0	1	2	0	1	1	0	4	0	0	4	0	0	0	3	2	1	3	1	0	0	0	0	0	1	0	0	0	2	0	0	3	3	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	2	4	1	0	2	0	0	1	0	1	0	0	0	0	3	0	1	1	1	0	1	0	0	2	0	0	0	1	2	0	0	0	7	0	0	0	2	1	0	0	0	0	1	0	2
mezzoblue	0	1	6	1	1	1	2	2	0	1	0	1	2	1	0	1	0	1	0	0	0	3	0	2	0	1	2	0	0	1	0	1	2	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	4	0	0	2	1	2	0	1	2	3	0	3	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	2	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	2	0	0	1	0
Oilman	3	1	2	4	4	3	3	1	2	2	1	1	3	1	1	2	0	0	0	3	1	2	1	4	1	0	1	0	4	3	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	1	1	0	2	4	0	0	1	2	1	3	1	2	1	7	1	0	3	0	0	1	1	1	0	2	0	0	0	1	0	1	2	0	2	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	2	1	1	1	0	1	0	0	2	1	1	1	0	1	2	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0
Derek Powazek	4	2	11	7	9	7	9	0	3	5	3	5	13	2	6	9	3	0	0	11	4	5	4	15	7	3	6	3	3	3	5	5	11	3	1	5	3	1	2	3	4	6	7	6	4	1	7	2	0	9	4	2	1	2	3	1	5	2	1	1	2	9	1	3	2	8	4	22	1	4	9	5	0	1	0	10	2	6	1	0	1	3	0	1	0	1	10	0	8	1	4	11	7	2	1	1	2	7	4	2	1	1	7	6	2	1	1	4	1	1	2	4	3	3	0	2	3	7	6	1	3	1	2	2	5	3	1	1	1	12	3	8	3	2	2	1	0	4	1	2	0	0	2	0	0	1	4	1	1	2	1	3	3	0	0	9
ProBlogger	10	4	5	1	12	11	8	4	0	10	0	1	7	3	2	3	1	2	1	1	4	5	0	1	0	44	1	1	1	1	7	2	7	0	0	2	5	0	4	2	4	3	11	54	10	0	2	2	0	1	0	1	4	0	1	1	1	6	2	5	5	4	0	4	1	3	2	8	0	1	1	0	3	5	0	0	1	9	3	0	4	62	1	0	1	14	2	0	8	2	8	0	0	0	0	1	1	2	2	0	1	7	14	27	2	5	1	1	0	2	0	1	3	1	0	1	0	0	2	5	0	0	1	0	6	7	2	1	4	2	1	0	0	3	0	0	0	1	3	3	0	3	3	1	0	0	0	3	0	1	0	1	0	0	0	0
Quick Online Tips	0	0	0	0	1	0	1	5	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	11	1	0	0	0	1	1	0	1	2	0	0	0	1	0	1	1	0	8	1	0	0	0	10	0	0	0	0	0	0	0	0	1	2	4	1	1	0	4	0	0	0	0	0	0	1	3	0	0	1	8	0	0	4	0	0	8	18	3	0	0	2	0	2	1	1	1	0	1	1	0	0	0	0	3	0	0	1	8	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0
ReadWrite	1	2	3	3	2	1	6	3	3	6	2	1	5	0	5	8	3	1	1	2	1	3	1	1	1	20	2	0	1	0	1	5	3	4	11	2	2	14	2	3	6	4	1	7	1	2	0	0	0	0	3	2	1	5	1	2	1	6	0	4	4	1	0	7	1	3	2	0	0	0	1	5	2	1	0	2	1	1	2	0	1	20	1	1	0	3	3	1	5	3	2	1	1	1	1	0	0	1	0	1	1	0	4	6	5	1	0	0	0	2	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	5	0	1	0	1	0	3	1	6	3	0	0	0	5	0	5	0	1	2	3	0	0	3	1	0	0	0	0
